Year Released,Album Length,Album Name,Artist
2020,5042580,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie
2020,3551950,Artist 2.0,A Boogie Wit da Hoodie
2020,3683326,Top Shotta,NLE Choppa
2020,3528040,Legends Never Die,Juice WRLD
2020,4215093,High Off Life,Future
2020,4300085,Pray 4 Love (Deluxe),Rod Wave
2020,2318280,Pray 4 Love,Rod Wave
2020,2834045,THE PANDEMIC PROJECT,Tobe Nwigwe
2020,6101809,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke
2020,3401218,Shoot For The Stars Aim For The Moon,Pop Smoke
2020,2706369,Meet The Woo 2 (Deluxe),Pop Smoke
2020,2090476,Meet The Woo 2,Pop Smoke
2020,2995371,Dark Lane Demo Tapes,Drake
2020,4359992,WUNNA (Deluxe),Gunna
2020,3005795,WUNNA,Gunna
2020,3593788,BLAME IT ON BABY (DELUXE),DaBaby
2020,2020418,BLAME IT ON BABY,DaBaby
2020,2644402,Limbo,Amin_Ù
2020,999714,Sweet Action,Jack Harlow
2020,3458765,Trapped On Cleveland 3,Lil Keed
2020,2967168,Epidemic (Deluxe),Money Man
2020,1900677,State of Emergency,Money Man
2020,1143129,Epidemic,Money Man
2020,2830134,THE GOAT,Polo G
2020,3466827,Circles (Deluxe),Mac Miller
2020,2924857,Circles,Mac Miller
2020,2720568,The Smartest,Tee Grizzley
2020,6325469,Revenge Of The Dreamers III: (Deluxe),Dreamville
2020,1189892,Fallin',StaySolidRocky
2020,1337501,GANG,Headie One
2020,3697669,Time Served (Deluxe),Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2020,3595578,No Pressure,Logic
2020,1761433,Everyone's Watching,YSN G
2020,2452918,"No More Losses, Vol. 1",YSN G
2020,2692033,Rich Slave,Young Dolph
2020,2636358,The Warning,R-Mean
2020,3396520,Los Meros,Berner
2020,2102394,Alfredo,Freddie Gibbs
2020,2715021,Bandana Beats,Freddie Gibbs
2020,1487261,The OutRunners,Curren$y
2020,1763217,Spring Clean,Curren$y
2020,3452681,The Tonite Show With Curren$y (Deluxe),DJ.Fresh
2020,1605037,Smokin' Potnas,Curren$y
2020,1792573,The Tonite Show With Curren$y,DJ.Fresh
2020,1341604,State of Emergency,Lil Tjay
2020,3863523,Load It Up Vol. 01,03 Greedo
2020,1800944,"Ho, why is you here ?",Flo Milli
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2020,1884138,Queen of Da Souf,Mulatto
2020,4281302,Detroit 2,Big Sean
