Year Released,Album Length,Album Name,Artist
2020,2995371,Dark Lane Demo Tapes,Drake
2020,2991074,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2016,4875485,Views,Drake
2016,4875485,Views,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4318651,Nothing Was The Same (Deluxe),Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,4315290,Nothing Was The Same (Deluxe),Drake
2013,4315290,Nothing Was The Same (Deluxe),Drake
2013,4074330,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2013,3568090,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2011,5005794,Take Care,Drake
2011,4824248,Take Care (Deluxe),Drake
2011,4824247,Take Care (Deluxe),Drake
2011,4788328,Take Care (Explicit Deluxe),Drake
2011,5005819,Take Care,Drake
2011,5005837,Take Care (Deluxe),Drake
2011,4824264,Take Care (Deluxe),Drake
2011,4824261,Take Care (Deluxe),Drake
2010,3927422,Thank Me Later (Int'l Version),Drake
2010,3668663,Thank Me Later,Drake
2010,3666717,Thank Me Later,Drake
2010,3666706,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2020,4300085,Pray 4 Love (Deluxe),Rod Wave
2020,2318280,Pray 4 Love,Rod Wave
2020,2315041,Pray 4 Love,Rod Wave
2019,2400836,Ghetto Gospel,Rod Wave
2019,2391750,Ghetto Gospel,Rod Wave
2019,1997176,PTSD,Rod Wave
2019,1997176,PTSD,Rod Wave
2018,1895329,Hunger Games 3,Rod Wave
2018,1894294,Hunger Games 3,Rod Wave
2018,1676277,Hunger Games 2,Rod Wave
2018,1676278,Hunger Games 2,Rod Wave
2019,3274738,Father Of Asahd,DJ Khaled
2019,3274738,Father Of Asahd,DJ Khaled
2017,5254514,Grateful,DJ Khaled
2017,5059099,Grateful,DJ Khaled
2017,5059099,Grateful,DJ Khaled
2017,5253470,Grateful,DJ Khaled
2016,3482354,Major Key,DJ Khaled
2016,3482354,Major Key,DJ Khaled
2016,3482353,Major Key,DJ Khaled
2016,3482353,Major Key,DJ Khaled
2015,3766902,I Changed A Lot (Deluxe),DJ Khaled
2015,3766954,I Changed A Lot (Deluxe),DJ Khaled
2015,2950528,I Changed A Lot,DJ Khaled
2013,3214156,Suffering From Success,DJ Khaled
2013,3214156,Suffering From Success,DJ Khaled
2013,3214396,Suffering From Success,DJ Khaled
2013,3214396,Suffering From Success,DJ Khaled
2013,3622822,Suffering From Success (Deluxe Version),DJ Khaled
2013,3622822,Suffering From Success (Deluxe Version),DJ Khaled
2013,3623062,Suffering From Success (Deluxe Version),DJ Khaled
2013,3623061,Suffering From Success (Deluxe Version),DJ Khaled
2012,3579329,Kiss The Ring (Deluxe),DJ Khaled
2012,3579329,Kiss The Ring (Deluxe),DJ Khaled
2012,3578995,Kiss The Ring (Deluxe),DJ Khaled
2012,3578995,Kiss The Ring (Deluxe),DJ Khaled
2012,2912023,Kiss The Ring,DJ Khaled
2012,2912023,Kiss The Ring,DJ Khaled
2012,2911690,Kiss The Ring,DJ Khaled
2012,2911690,Kiss The Ring,DJ Khaled
2011,3227863,We The Best Forever,DJ Khaled
2011,3227877,We The Best Forever,DJ Khaled
2011,3227863,We The Best Forever,DJ Khaled
2011,3227969,We The Best Forever,DJ Khaled
2010,2786314,Victory,DJ Khaled
2010,2783381,Victory,DJ Khaled
2008,2914929,We Global,DJ Khaled
2020,999714,Sweet Action,Jack Harlow
