Year Released,Album Length,Album Name,Artist
2020,5042580,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie
2020,3551950,Artist 2.0,A Boogie Wit da Hoodie
2018,3704676,Hoodie SZN,A Boogie Wit da Hoodie
2018,1570622,International Artist,A Boogie Wit da Hoodie
2017,3101172,The Bigger Artist,A Boogie Wit da Hoodie
2016,2392694,Artist,A Boogie Wit da Hoodie
2018,2898235,Invasion of Privacy,Cardi B
2017,1711507,Gangsta Bitch Music Vol. 2,Cardi B
2016,1997134,Gangsta Bitch Music Vol 1,Cardi B
2020,3683326,Top Shotta,NLE Choppa
2019,1506117,Cottonwood,NLE Choppa
2019,1331808,Winter Can Be Murder,Icy Narco
2020,3528040,Legends Never Die,Juice WRLD
2019,4333609,Death Race For Love,Juice WRLD
2018,2850485,Goodbye & Good Riddance,Juice WRLD
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2020,4215093,High Off Life,Future
2019,2787343,Monster,Future
2019,1217105,SAVE ME,Future
2019,3718236,Future Hndrxx Presents: The WIZRD,Future
2018,1909689,BEASTMODE 2,Future
2018,4649306,SUPERFLY (Original Motion Picture Soundtrack),Future
2017,2449606,SUPER SLIMEY,Future
2017,4600471,HNDRXX,Future
2017,4460482,FUTURE,Future
2016,2544799,EVOL,Future
2016,2392890,Purple Reign,Future
2015,2435958,What A Time To Be Alive,Drake
2015,5191840,DS2 (Deluxe),Future
2015,1303038,DS2 - Track by Track Commentary,Future
2015,1400184,56 Nights,Future
2015,1672377,Beast Mode (Instrumentals),Future
2015,1498784,Beast Mode,Future
2014,4010381,Honest,Future
2012,4020556,Pluto 3D,Future
2012,3409689,Pluto,Future
2012,3740059,Astronaut Status,Future
2020,4300085,Pray 4 Love (Deluxe),Rod Wave
2020,2318280,Pray 4 Love,Rod Wave
2019,2400836,Ghetto Gospel,Rod Wave
2019,1997176,PTSD,Rod Wave
2018,1895329,Hunger Games 3,Rod Wave
2018,1676278,Hunger Games 2,Rod Wave
2020,2834045,THE PANDEMIC PROJECT,Tobe Nwigwe
2019,5857515,FOURIGINALS,Tobe Nwigwe
2019,4073359,TOBE FROM THE SWAT I THE LIVE EXPERIENCE,Tobe Nwigwe
2019,4320557,THREE ORIGINALS,Tobe Nwigwe
2018,4515598,MORE ORIGINALS,Tobe Nwigwe
2018,1949630,THE ORIGINALS.,Tobe Nwigwe
